,Date,Confirmed,Deaths,Cured,Active,month
0,1/30/2020,1,0,0,1,2
1,1/31/2020,1,0,0,1,2
2,2/1/2020,2,0,0,2,2
3,2/2/2020,3,0,0,3,2
4,2/3/2020,3,0,0,3,2
5,2/4/2020,3,0,0,3,2
6,2/5/2020,3,0,0,3,2
7,2/6/2020,3,0,0,3,2
8,2/7/2020,3,0,0,3,2
9,2/8/2020,3,0,0,3,2
10,2/9/2020,3,0,0,3,2
11,2/10/2020,3,0,0,3,2
12,2/11/2020,3,0,0,3,2
13,2/12/2020,3,0,0,3,2
14,2/13/2020,3,0,0,3,2
15,2/14/2020,3,0,0,3,2
16,2/15/2020,3,0,0,3,2
17,2/16/2020,3,0,0,3,2
18,2/17/2020,3,0,0,3,2
19,2/18/2020,3,0,0,3,2
20,2/19/2020,3,0,0,3,2
21,2/20/2020,3,0,0,3,2
22,2/21/2020,3,0,0,3,2
23,2/22/2020,3,0,0,3,2
24,2/23/2020,3,0,0,3,2
25,2/24/2020,3,0,0,3,2
26,2/25/2020,3,0,0,3,2
27,2/26/2020,3,0,0,3,2
28,2/27/2020,3,0,0,3,2
29,2/28/2020,3,0,0,3,2
30,2/29/2020,3,0,0,3,2
31,3/1/2020,3,0,0,3,3
32,3/2/2020,5,0,0,5,3
33,3/3/2020,6,0,3,3,3
34,3/4/2020,28,0,3,25,3
35,3/5/2020,30,0,3,27,3
36,3/6/2020,31,0,3,28,3
37,3/7/2020,34,0,3,31,3
38,3/8/2020,39,0,3,36,3
39,3/9/2020,46,0,3,43,3
40,3/10/2020,58,0,3,55,3
41,3/11/2020,60,0,3,57,3
42,3/12/2020,74,0,3,71,3
43,3/13/2020,81,1,3,77,3
44,3/14/2020,84,2,10,72,3
45,3/15/2020,110,2,13,95,3
46,3/16/2020,114,2,13,99,3
47,3/17/2020,137,3,14,120,3
48,3/18/2020,151,3,14,134,3
49,3/19/2020,173,4,20,149,3
50,3/20/2020,223,4,23,196,3
51,3/21/2020,283,4,23,256,3
52,3/22/2020,360,7,24,329,3
53,3/23/2020,433,7,24,402,3
54,3/24/2020,519,9,40,470,3
55,3/25/2020,606,10,43,553,3
56,3/26/2020,694,15,45,634,3
57,3/27/2020,724,17,67,640,3
58,3/28/2020,909,19,80,810,3
59,3/29/2020,1024,27,96,901,3
60,3/30/2020,1251,31,102,1118,3
61,3/31/2020,1397,35,124,1238,3
62,4/1/2020,1834,41,144,1649,4
63,4/2/2020,2069,53,156,1860,4
64,4/3/2020,2547,62,163,2322,4
65,4/4/2020,3072,75,213,2784,4
66,4/5/2020,3577,83,275,3219,4
67,4/6/2020,4281,111,319,3851,4
68,4/7/2020,4789,124,353,4312,4
69,4/8/2020,5274,149,411,4714,4
70,4/9/2020,5865,169,478,5218,4
71,4/10/2020,6761,206,516,6039,4
72,4/11/2020,7529,242,653,6634,4
73,4/12/2020,8447,273,765,7409,4
74,4/13/2020,9352,324,980,8048,4
75,4/14/2020,10815,353,1190,9272,4
76,4/15/2020,11933,392,1344,10197,4
