"country","confirmed","new_cases","deaths","recovered","active","critical","new_deaths","total_tests","total_tests_per_million","total_cases_per_million","total_deaths_per_million"
"Spain","198674","0","20453","77357","100864","7371","0","930230","0","4249","437"
"Italy","178972","0","23660","47055","108257","2635","0","1356541","0","2960","391"
"India","17615","0","559","2854","14202","0","0","401586","0","13","0.4"
"North America","820749","666","43369","86885","690495","14651","32","0","0","0","0"
"China","82747","12","4632","77084","1031","81","0","0","0","57","3"
"Japan","10797","0","236","1159","9402","217","0","112816","0","85","2"
"Europe","1089715","459","101861","313136","674718","25394","25","0","0","0","0"
"Russia","42853","0","361","3291","39201","8","0","1940000","0","294","2"
"Turkey","86306","0","2017","11976","72313","1922","0","634277","0","1023","24"
"Germany","145743","1","4642","91500","49601","2889","0","1728357","0","1740","55"
